2025-11-12 16:19:00,node/temperatura,26.20
2025-11-12 16:19:00,node/humedad,39.00
2025-11-12 16:20:04,node/temperatura,26.20
2025-11-12 16:20:04,node/humedad,39.00
2025-11-12 16:21:07,node/temperatura,26.20
2025-11-12 16:21:07,node/humedad,39.00
2025-11-12 16:22:21,node/temperatura,25.80
2025-11-12 16:22:24,node/humedad,39.00
2025-11-12 16:23:29,node/temperatura,26.20
2025-11-12 16:23:32,node/humedad,39.00
2025-11-12 16:24:30,node/temperatura,26.20
2025-11-12 16:24:30,node/humedad,39.00
2025-11-12 16:25:34,node/temperatura,26.20
2025-11-12 16:25:35,node/humedad,38.00
2025-11-12 16:26:52,node/temperatura,26.70
2025-11-12 16:26:52,node/humedad,38.00
2025-11-12 16:27:51,node/temperatura,26.70
2025-11-12 16:27:52,node/humedad,38.00
2025-11-12 16:28:55,node/temperatura,26.70
2025-11-12 16:28:55,node/humedad,38.00
2025-11-12 16:30:02,node/temperatura,27.10
2025-11-12 16:30:03,node/humedad,38.00
2025-11-12 16:31:07,node/temperatura,27.10
2025-11-12 16:31:07,node/humedad,38.00
